ruta,clase,particion
data/raw/asl_alphabet_train/A/A685.jpg,A,train
data/raw/asl_alphabet_train/A/A2559.jpg,A,train
data/raw/asl_alphabet_train/A/A2804.jpg,A,train
data/raw/asl_alphabet_train/A/A1676.jpg,A,train
data/raw/asl_alphabet_train/A/A1439.jpg,A,train
data/raw/asl_alphabet_train/A/A2914.jpg,A,train
data/raw/asl_alphabet_train/A/A1019.jpg,A,train
data/raw/asl_alphabet_train/A/A1537.jpg,A,train
data/raw/asl_alphabet_train/A/A1340.jpg,A,train
data/raw/asl_alphabet_train/A/A1614.jpg,A,train
data/raw/asl_alphabet_train/A/A2408.jpg,A,train
data/raw/asl_alphabet_train/A/A858.jpg,A,train
data/raw/asl_alphabet_train/A/A1870.jpg,A,train
data/raw/asl_alphabet_train/A/A2137.jpg,A,train
data/raw/asl_alphabet_train/A/A244.jpg,A,train
data/raw/asl_alphabet_train/A/A2109.jpg,A,train
data/raw/asl_alphabet_train/A/A165.jpg,A,train
data/raw/asl_alphabet_train/A/A1363.jpg,A,train
data/raw/asl_alphabet_train/A/A1973.jpg,A,train
data/raw/asl_alphabet_train/A/A1544.jpg,A,train
data/raw/asl_alphabet_train/A/A852.jpg,A,train
data/raw/asl_alphabet_train/A/A33.jpg,A,train
data/raw/asl_alphabet_train/A/A1035.jpg,A,train
data/raw/asl_alphabet_train/A/A939.jpg,A,train
data/raw/asl_alphabet_train/A/A198.jpg,A,train
data/raw/asl_alphabet_train/A/A1011.jpg,A,train
data/raw/asl_alphabet_train/A/A1179.jpg,A,train
data/raw/asl_alphabet_train/A/A2926.jpg,A,train
data/raw/asl_alphabet_train/A/A2069.jpg,A,train
data/raw/asl_alphabet_train/A/A116.jpg,A,train
data/raw/asl_alphabet_train/A/A290.jpg,A,train
data/raw/asl_alphabet_train/A/A878.jpg,A,train
data/raw/asl_alphabet_train/A/A1722.jpg,A,train
data/raw/asl_alphabet_train/A/A1361.jpg,A,train
data/raw/asl_alphabet_train/A/A2269.jpg,A,train
data/raw/asl_alphabet_train/A/A2221.jpg,A,train
data/raw/asl_alphabet_train/A/A1946.jpg,A,train
data/raw/asl_alphabet_train/A/A285.jpg,A,train
data/raw/asl_alphabet_train/A/A328.jpg,A,train
data/raw/asl_alphabet_train/A/A2974.jpg,A,train
data/raw/asl_alphabet_train/A/A1855.jpg,A,train
data/raw/asl_alphabet_train/A/A1114.jpg,A,train
data/raw/asl_alphabet_train/A/A69.jpg,A,train
data/raw/asl_alphabet_train/A/A232.jpg,A,train
data/raw/asl_alphabet_train/A/A765.jpg,A,train
data/raw/asl_alphabet_train/A/A1571.jpg,A,train
data/raw/asl_alphabet_train/A/A525.jpg,A,train
data/raw/asl_alphabet_train/A/A505.jpg,A,train
data/raw/asl_alphabet_train/A/A93.jpg,A,train
data/raw/asl_alphabet_train/A/A971.jpg,A,train
data/raw/asl_alphabet_train/A/A2502.jpg,A,train
data/raw/asl_alphabet_train/A/A2744.jpg,A,train
data/raw/asl_alphabet_train/A/A1912.jpg,A,train
data/raw/asl_alphabet_train/A/A709.jpg,A,train
data/raw/asl_alphabet_train/A/A1616.jpg,A,train
data/raw/asl_alphabet_train/A/A728.jpg,A,train
data/raw/asl_alphabet_train/A/A200.jpg,A,train
data/raw/asl_alphabet_train/A/A1615.jpg,A,train
data/raw/asl_alphabet_train/A/A2073.jpg,A,train
data/raw/asl_alphabet_train/A/A82.jpg,A,train
data/raw/asl_alphabet_train/A/A154.jpg,A,train
